Inflight wifi service,Online boarding,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Flight Distance,Age,Class
2,2,1,3,0,3,1024,31,1
5,5,1,5,1,4,2672,30,3
4,4,0,3,1,5,1013,12,1
5,3,1,5,1,1,403,51,2
3,3,0,4,1,4,515,68,1
5,5,1,5,1,4,444,38,1
3,4,0,4,1,4,1065,13,1
2,2,0,5,1,3,334,19,1
4,4,1,5,0,3,919,29,3
3,2,1,4,1,1,529,58,3
0,5,1,1,1,4,1990,35,3
1,4,1,1,1,3,693,64,3
3,1,0,5,1,1,2583,66,1
1,1,1,1,1,2,2959,24,3
2,3,1,5,1,4,157,50,3
3,3,0,4,1,3,526,11,1
3,3,1,3,0,5,666,37,3
5,5,1,5,1,3,315,64,3
2,2,1,2,1,2,2608,54,3
4,4,1,1,0,4,406,46,3
3,3,0,5,1,5,1089,25,1
2,2,0,4,1,1,255,45,1
2,4,1,1,1,2,332,53,2
3,4,1,4,1,3,376,25,3
2,3,0,2,1,4,837,12,2
4,4,1,4,1,3,205,59,2
1,1,0,2,1,4,546,34,1
1,2,0,4,1,3,1846,63,1
2,5,1,3,1,5,1175,35,3
5,5,1,2,0,3,577,27,3
4,4,1,5,1,5,190,51,3
3,4,1,3,1,1,3621,37,3
1,0,1,1,0,5,270,36,3
2,2,0,1,1,2,231,40,1
2,4,1,3,1,5,395,47,3
4,4,1,4,1,4,102,55,1
2,0,0,1,1,4,158,68,1
2,2,1,2,1,3,1411,29,1
2,4,1,4,1,5,2477,54,3
5,3,1,4,1,5,671,43,1
3,3,1,1,1,3,2760,57,3
3,3,1,3,1,2,1614,58,3
3,4,1,4,1,2,3276,30,3
4,4,1,4,1,2,522,34,1
1,4,1,5,1,5,785,44,3
2,2,0,1,1,5,1120,26,1
3,3,0,1,1,1,597,65,2
3,4,1,5,1,3,1727,53,3
3,3,0,2,1,4,253,9,2
3,3,1,3,0,1,1605,39,3
3,3,0,4,1,3,227,37,1
1,4,0,4,1,4,430,68,2
2,4,1,4,1,5,1407,24,3
3,3,0,1,1,4,414,53,3
3,3,0,4,1,4,602,21,1
5,4,1,4,1,5,1431,46,3
4,4,0,4,1,4,130,36,1
5,1,1,5,1,4,748,48,3
3,3,1,3,0,1,236,40,3
1,1,1,5,0,5,1262,29,1
3,4,1,5,0,4,296,24,1
3,1,1,3,1,1,3807,51,3
1,1,1,5,0,4,862,24,3
3,3,0,2,1,3,333,51,1
3,3,1,3,1,2,1089,40,1
4,5,1,5,1,5,325,47,3
4,4,1,3,1,4,4983,31,1
1,1,0,4,1,1,2300,31,1
4,5,1,5,1,5,3831,45,3
2,5,1,3,1,5,2063,49,3
5,4,1,4,1,2,964,18,3
3,3,1,5,1,5,2075,50,3
1,4,1,4,1,4,901,44,3
1,1,1,4,0,4,448,21,1
3,5,1,5,1,4,1754,40,3
3,5,1,5,1,5,486,50,3
2,3,1,2,1,2,3965,36,3
1,1,0,3,1,4,669,54,1
2,2,0,5,1,4,236,16,1
2,2,1,3,0,2,1173,11,3
2,5,1,2,1,5,1524,61,3
2,3,1,2,1,4,541,25,1
3,3,1,5,0,5,427,34,1
3,3,1,1,0,4,919,38,3
3,3,0,1,1,3,1107,42,2
3,4,1,1,0,4,632,26,3
4,4,1,4,0,1,1372,25,1
4,4,1,4,0,5,1310,22,3
4,5,1,2,1,3,2174,57,3
4,4,1,5,1,3,626,43,1
1,1,0,2,1,3,937,40,2
3,3,1,3,0,4,1416,29,3
4,4,1,3,1,5,376,46,3
0,4,1,5,1,4,2496,57,3
3,5,0,4,1,3,1005,67,1
2,2,1,2,1,4,89,33,3
4,3,1,4,1,5,1892,42,3
4,4,1,3,0,4,1010,23,1
1,1,1,2,1,1,2704,39,3
4,4,1,4,1,5,3557,40,3
2,2,1,4,0,5,247,15,1
3,4,1,3,1,2,1953,17,3
2,4,1,2,1,3,2096,40,3
2,4,1,2,1,2,1119,47,2
2,2,1,2,1,2,965,20,1
3,3,1,3,1,2,2561,19,3
4,4,0,5,1,4,294,62,1
3,3,1,3,0,5,2165,14,1
1,1,0,5,1,4,184,26,2
2,4,0,5,1,4,473,44,1
3,3,0,4,1,3,236,19,1
3,5,1,5,1,5,3077,49,3
1,5,1,5,1,5,585,47,3
5,5,1,5,1,5,2717,59,1
2,5,1,2,1,2,1024,51,1
2,3,0,3,1,3,2504,46,1
3,3,0,5,1,3,1235,69,1
2,3,0,4,1,3,2521,63,2
2,4,1,4,1,5,227,56,3
2,2,1,5,0,5,1085,48,3
3,4,1,5,1,4,1010,49,3
4,4,1,4,1,3,577,49,3
5,2,1,4,1,5,201,57,3
1,4,1,4,1,4,666,46,3
2,2,0,5,1,4,639,20,1
4,4,1,5,0,5,462,50,1
3,3,0,2,1,4,2026,17,1
4,4,1,3,0,4,175,37,3
5,5,0,4,1,4,1372,32,1
2,2,1,4,0,1,363,32,3
3,3,1,2,1,3,529,50,1
0,4,1,3,1,3,157,40,3
4,4,1,1,0,5,522,32,3
3,4,1,4,1,4,1501,26,3
2,2,1,1,1,3,612,51,1
2,2,1,1,0,2,338,29,2
4,4,1,4,1,5,3477,41,3
3,3,0,1,1,5,725,32,1
1,5,1,4,1,5,2552,49,3
5,5,0,3,1,1,216,41,1
3,3,0,4,1,4,1056,37,1
3,3,1,3,1,3,3421,66,3
2,2,0,5,1,5,944,35,1
2,2,0,1,1,4,1660,18,1
4,2,1,4,1,2,2247,60,3
1,1,1,2,0,2,141,40,1
3,4,0,4,1,4,308,55,2
2,3,0,3,1,4,429,67,2
1,4,1,2,1,5,3033,56,3
2,4,1,5,1,3,946,50,3
2,4,1,2,1,4,1199,58,3
2,2,1,3,0,4,227,26,1
2,4,1,3,1,4,704,48,3
2,4,0,1,1,3,2586,68,1
3,3,1,3,1,3,446,48,1
2,5,1,5,1,5,2835,30,3
5,5,1,4,1,4,991,50,3
1,1,0,4,1,3,404,66,1
1,4,1,4,1,4,2399,31,3
3,3,1,3,1,4,204,35,1
3,3,0,2,1,4,680,26,1
3,4,1,4,1,4,1971,20,3
3,3,1,1,0,5,337,44,3
5,5,0,5,1,2,2079,36,1
1,1,0,3,1,5,1027,41,1
1,5,1,5,1,5,3671,45,3
4,2,1,2,1,4,2529,28,3
4,4,1,5,1,5,2221,46,3
0,0,1,1,0,4,711,14,1
1,3,1,1,1,3,451,52,3
3,3,0,2,1,2,460,32,1
5,5,1,5,1,4,3752,30,3
2,4,1,5,1,3,1896,60,3
5,5,1,5,1,1,1190,77,2
3,4,1,5,1,3,414,38,3
5,5,1,5,1,2,331,51,1
3,3,0,3,1,4,226,58,1
3,4,1,4,1,5,2448,54,3
2,3,1,2,1,4,387,22,3
3,3,1,1,0,4,1014,8,2
2,2,0,4,1,4,2248,39,1
5,4,1,4,1,4,2306,57,3
2,2,0,5,1,4,2475,70,2
0,0,0,4,1,5,447,52,2
4,3,1,4,1,1,3309,42,3
1,3,0,5,1,4,692,48,1
1,5,1,5,1,5,1855,43,3
4,4,1,2,0,1,1010,25,1
4,5,1,4,1,4,369,55,1
3,4,1,4,1,3,1747,8,3
2,2,1,2,1,3,1188,58,1
3,3,0,4,1,3,1587,50,1
2,2,1,3,0,4,521,23,1
4,4,1,4,1,2,611,55,1
3,3,1,5,0,3,541,26,3
5,4,1,5,1,5,1560,41,3
5,4,1,5,1,1,3293,56,3
5,3,0,5,1,4,650,59,1
3,3,0,5,1,3,610,37,1
4,5,1,5,1,4,2256,46,3
5,5,0,5,1,2,369,29,1
1,5,1,5,1,5,1949,57,3
4,4,1,4,1,3,301,49,3
3,3,1,3,1,1,3194,26,3
3,3,0,4,1,1,427,65,1
3,0,0,4,1,3,184,19,2
2,4,1,4,1,4,731,58,3
1,5,1,5,1,3,1784,32,3
4,2,1,4,1,3,3947,43,3
5,5,1,4,1,3,3750,47,3
2,3,1,2,1,4,862,69,3
1,4,1,5,1,4,3319,58,3
1,4,1,5,1,4,532,44,3
2,4,1,5,1,4,936,43,3
5,5,1,5,1,5,1797,20,3
5,1,1,3,1,5,3242,38,3
4,4,1,4,1,2,347,33,2
5,5,1,5,1,5,3051,44,3
3,3,0,2,1,3,453,50,2
3,5,1,5,1,4,3281,46,3
5,5,1,4,1,4,1831,52,3
3,5,0,5,1,3,301,48,1
3,3,1,1,0,4,594,23,1
3,4,0,2,1,1,898,64,1
4,4,1,2,1,4,1014,49,2
3,3,0,2,1,5,1045,35,2
3,5,0,3,1,5,503,51,3
3,5,1,5,1,3,226,62,3
1,4,1,4,1,3,3072,16,3
4,5,1,5,1,4,912,48,3
3,3,0,1,1,4,481,37,1
2,2,0,3,1,5,912,19,2
2,2,0,1,1,4,366,27,1
1,1,0,4,1,4,1194,61,1
3,3,1,4,0,2,1133,29,1
1,1,1,5,1,4,3230,40,3
5,5,1,5,1,4,946,41,1
4,4,0,5,1,1,259,47,1
2,2,1,3,0,4,719,29,3
4,4,0,5,1,5,642,20,1
2,5,0,2,1,5,1750,21,3
1,4,1,5,1,5,641,34,3
1,3,1,4,1,4,122,49,3
1,1,1,5,0,2,874,26,1
2,3,1,2,1,4,1953,9,2
2,2,0,3,1,1,451,59,1
1,1,1,3,0,2,1276,23,1
5,5,0,2,1,1,370,57,1
1,3,1,1,1,4,2206,69,3
3,3,0,2,1,1,954,57,2
3,3,1,2,1,1,834,51,1
1,1,0,4,1,4,459,59,1
1,1,0,5,1,1,390,55,2
4,4,1,4,1,2,677,40,1
4,4,1,3,0,5,1182,45,3
1,4,1,4,1,3,2234,57,3
2,4,0,4,1,4,633,62,1
1,1,0,5,1,5,164,48,1
3,4,1,4,1,5,429,44,3
5,5,1,3,1,5,2496,32,1
1,1,0,4,1,1,650,38,1
3,4,1,4,1,4,3603,55,3
4,3,1,4,0,3,672,30,2
3,4,1,3,1,1,957,72,1
1,5,1,4,1,3,2844,48,3
4,4,1,4,1,3,2965,36,3
1,4,1,2,1,4,3227,60,3
2,4,1,4,1,3,3744,34,3
4,3,0,3,1,4,550,50,1
2,2,1,4,0,2,401,15,1
3,3,1,3,1,1,589,57,1
2,2,1,2,1,1,3313,13,3
2,3,1,2,1,4,3710,61,3
2,2,1,1,0,3,1674,15,1
4,5,1,4,1,3,3757,42,3
1,5,1,5,1,3,3320,33,3
2,2,0,5,1,4,159,36,1
3,3,0,3,1,3,1171,60,2
2,2,1,2,1,4,1124,30,3
5,5,1,2,0,4,1127,27,3
1,1,0,1,1,4,305,35,1
3,5,0,3,1,3,589,64,2
2,2,0,2,1,5,1199,25,1
4,4,0,2,1,1,951,7,1
3,4,0,4,1,5,628,58,1
4,4,0,3,1,3,919,29,1
4,4,0,5,1,5,109,38,1
3,3,0,2,1,2,2279,68,1
4,2,1,2,1,1,73,30,3
4,4,1,4,1,1,746,30,2
3,2,0,5,1,3,997,41,2
1,5,1,5,1,4,1998,44,3
3,2,1,4,0,4,990,48,1
3,4,0,2,1,1,675,51,1
4,4,1,2,0,3,936,24,1
4,5,1,5,1,1,651,30,3
4,4,1,3,0,2,1050,25,1
2,2,0,4,1,5,337,10,1
2,3,1,2,1,1,3185,40,3
1,1,1,1,1,2,859,55,1
2,4,1,5,1,4,1902,42,3
4,5,0,5,1,2,359,45,1
2,3,1,5,1,3,1969,51,3
1,5,1,5,1,5,1608,48,3
2,2,0,1,1,3,295,51,1
3,3,1,4,1,3,2611,58,3
4,3,1,4,1,2,2079,41,3
4,4,1,4,1,2,359,19,3
5,5,1,5,1,1,216,39,1
1,5,1,5,1,4,746,57,3
4,5,1,5,1,2,3540,30,3
4,4,1,4,1,4,826,25,2
2,2,0,1,1,4,1085,24,1
2,2,1,1,1,2,1045,25,1
1,4,1,3,1,3,2716,38,3
4,4,1,5,0,5,386,47,3
1,1,1,1,1,1,448,51,2
3,3,0,3,1,5,368,25,1
5,5,0,2,1,4,746,21,1
2,2,1,2,1,4,861,40,1
2,2,1,5,0,1,627,34,1
3,3,1,1,0,2,226,42,1
1,4,1,1,1,1,3098,41,3
3,4,1,5,1,5,1491,47,3
5,4,1,5,1,5,1597,53,1
2,5,1,4,1,4,247,59,3
2,2,0,4,1,5,404,36,1
4,5,1,5,1,5,447,70,3
4,4,1,4,0,1,495,40,1
0,4,1,1,1,5,2937,44,3
4,2,1,2,1,1,1179,24,3
2,2,0,2,1,5,1416,12,1
5,5,0,2,1,5,1995,57,1
2,2,1,2,1,5,761,38,1
5,5,0,5,1,4,261,38,1
3,3,0,3,1,4,337,7,1
3,3,0,3,1,2,545,22,1
3,5,1,4,1,4,2227,41,3
5,5,1,5,1,3,1476,23,3
1,0,0,5,1,3,78,54,1
4,4,0,4,1,5,1670,48,1
4,4,1,4,1,2,270,27,1
3,1,0,5,1,1,2475,64,1
4,5,1,5,1,5,1754,31,3
4,4,1,4,1,2,2290,31,3
2,4,0,3,1,2,423,7,2
1,1,1,1,1,3,414,32,1
2,5,0,1,1,3,406,8,1
3,2,1,5,0,2,912,25,1
4,5,1,4,1,3,184,55,3
1,0,0,4,1,5,2554,14,1
4,4,0,4,1,4,2504,67,1
3,3,0,4,1,1,158,15,1
2,1,1,5,0,3,121,27,1
4,4,1,2,0,3,541,24,3
2,2,0,3,1,4,220,36,1
2,2,1,2,1,2,304,37,2
2,2,0,5,1,4,2295,17,2
2,2,0,4,1,3,216,59,1
1,4,0,4,1,4,345,69,1
0,4,1,2,1,5,2271,66,3
3,4,0,1,1,4,515,46,1
2,2,0,3,1,3,895,67,1
4,5,1,5,1,5,1121,29,3
1,3,0,1,1,4,1546,69,1
2,1,0,5,1,5,319,42,1
2,2,1,2,1,4,356,39,1
4,3,1,4,1,3,205,53,1
5,5,1,4,1,3,214,57,3
0,5,1,1,1,3,337,59,3
3,3,1,4,0,4,230,37,1
5,5,1,5,1,5,767,58,3
3,4,1,3,1,3,235,42,1
2,3,1,1,0,3,1076,25,1
1,1,0,4,1,3,1020,14,1
5,4,1,4,1,5,3590,40,3
3,2,1,3,1,3,1955,49,3
3,2,0,5,1,5,296,41,1
4,4,0,5,1,5,1182,53,1
4,4,1,4,1,3,463,37,2
2,2,0,1,1,1,1126,10,1
4,4,1,4,1,5,458,36,2
4,4,1,2,0,4,229,36,1
1,3,1,2,1,3,1846,58,3
2,2,1,2,1,1,834,27,1
4,4,1,5,1,1,794,40,3
2,2,1,2,1,3,2756,19,3
5,5,1,5,1,5,3744,37,3
5,4,1,4,1,4,1123,58,3
4,4,1,5,1,3,2166,71,3
4,4,0,4,1,5,349,18,1
4,4,0,3,1,5,1097,66,1
5,4,1,5,1,5,3064,54,3
2,4,1,4,1,4,2306,30,3
3,4,1,4,1,4,641,44,3
4,4,1,5,1,3,584,53,1
1,1,1,5,0,3,1107,25,1
2,2,1,4,0,2,1050,22,1
2,2,0,2,1,2,125,33,1
3,4,1,3,1,3,432,39,1
5,4,1,4,1,5,2004,46,3
4,4,1,4,1,2,1874,31,1
3,2,1,2,0,3,148,38,3
2,2,1,2,1,3,758,53,1
2,4,1,4,1,4,1610,28,3
4,5,1,4,1,5,2580,43,3
1,3,1,1,1,4,853,41,3
4,4,1,1,0,4,171,24,1
4,4,1,5,1,3,641,42,3
1,1,0,3,1,2,192,69,2
4,4,1,2,0,2,562,26,1
2,2,0,1,1,3,672,20,1
2,4,1,5,1,3,1961,39,3
4,4,1,4,1,4,2083,22,3
1,2,0,5,1,4,594,53,1
5,5,1,4,0,2,1309,16,3
3,5,1,5,1,3,2612,22,3
2,1,0,3,1,1,631,43,2
3,3,0,1,1,2,441,50,1
4,4,0,3,1,3,1061,21,1
1,1,1,1,1,4,2730,22,3
4,5,1,2,1,3,2799,45,3
1,1,1,1,1,3,1023,25,3
2,2,1,1,0,3,405,30,1
4,4,0,1,1,4,444,13,3
4,4,0,4,1,1,647,16,1
2,2,1,5,0,4,484,22,1
2,2,1,2,1,2,1440,33,3
3,3,0,4,1,3,294,34,1
5,1,1,5,0,1,822,26,3
2,2,1,2,1,2,601,46,2
1,5,1,4,1,5,2300,40,3
4,4,0,3,1,2,460,18,1
4,4,0,1,1,4,427,51,1
4,2,1,4,1,3,149,48,1
3,4,0,5,1,4,628,60,3
1,1,0,1,1,4,965,23,1
2,2,1,2,1,3,238,53,1
4,4,1,3,0,4,326,27,3
2,5,1,4,1,4,895,39,3
2,2,0,2,1,2,429,52,1
2,2,0,4,1,3,550,70,1
2,5,1,5,1,3,2876,38,3
2,2,1,2,0,3,421,36,1
5,4,0,5,1,2,919,67,1
0,5,1,4,1,4,3407,58,3
4,4,1,4,1,2,101,57,1
2,4,0,3,1,5,280,46,2
5,5,1,5,1,3,120,50,1
3,3,0,3,1,3,337,56,1
1,3,0,5,1,5,438,25,1
4,5,1,5,1,5,1095,55,3
3,4,1,4,1,5,222,23,3
5,5,1,5,1,3,1907,37,3
4,4,1,2,0,1,569,29,1
5,4,1,5,1,3,534,53,3
4,4,1,3,0,2,488,20,1
2,2,0,4,1,1,1471,39,1
3,3,1,3,1,2,965,42,3
3,3,1,3,1,4,718,41,1
2,3,1,4,0,3,1139,21,1
3,2,1,5,1,2,363,56,3
5,5,1,3,1,4,2116,42,3
4,4,1,4,1,1,110,27,2
4,4,1,4,1,3,1599,30,3
3,3,1,3,1,1,1821,57,3
4,4,1,4,1,5,3103,48,3
2,2,0,1,1,2,822,19,1
3,3,1,3,0,4,1107,24,1
1,4,1,2,1,5,2488,53,3
3,3,0,4,1,5,985,44,1
3,4,1,2,0,4,373,29,1
5,5,1,4,1,3,2007,52,3
5,3,1,3,1,5,391,25,3
2,5,1,5,1,4,1712,47,3
4,3,1,4,1,2,867,53,3
2,2,0,3,1,3,1666,10,1
1,5,1,5,1,3,3593,49,3
3,5,0,5,1,3,1072,60,1
5,5,1,5,1,3,425,40,1
4,0,0,2,1,4,200,51,1
3,3,0,5,1,5,612,49,1
2,2,0,2,1,4,106,26,2
1,1,1,2,0,3,89,25,3
5,4,1,4,1,5,2414,45,3
3,3,1,4,0,3,200,25,2
3,3,1,1,0,2,693,25,1
3,3,0,5,1,2,1475,59,1
3,3,0,1,1,4,983,27,1
1,2,0,4,1,1,391,59,2
4,4,1,2,0,3,859,19,3
2,2,1,4,0,4,2139,22,1
3,3,1,5,0,1,237,29,2
4,4,1,2,0,2,238,27,1
4,4,1,4,1,4,849,45,1
2,2,1,2,1,2,526,47,3
2,3,1,5,0,4,721,38,1
2,4,1,1,1,1,472,46,1
4,5,1,5,0,1,641,29,1
3,3,1,4,0,5,1541,41,3
4,2,1,4,1,5,327,62,1
3,3,0,1,1,5,776,15,1
3,3,0,5,1,5,427,34,1
1,2,1,1,1,3,2845,9,3
2,2,0,2,1,4,694,33,1
0,1,0,3,1,1,4963,13,1
2,1,1,5,1,1,645,33,3
3,2,1,3,1,2,1171,37,3
1,1,0,3,1,4,405,30,3
2,2,0,3,1,2,581,26,1
2,2,0,3,1,5,404,33,1
1,1,0,5,1,3,954,59,1
3,5,1,4,1,5,473,53,3
0,4,0,2,1,3,405,65,1
4,5,1,4,1,3,3113,46,3
1,1,0,5,1,4,369,18,1
0,4,0,5,1,2,448,45,1
1,1,1,4,0,1,787,16,1
3,5,1,5,1,5,2703,63,3
3,4,1,3,1,3,406,38,3
3,3,1,3,1,1,813,48,3
3,3,1,3,1,1,1900,26,3
1,1,1,5,0,4,1024,45,3
3,3,1,3,1,4,501,36,1
1,5,0,4,1,3,1183,60,1
3,3,0,4,1,4,738,30,1
3,3,1,3,1,3,594,49,1
2,4,1,2,1,2,2091,34,3
2,5,1,2,1,3,1973,41,3
1,1,0,4,1,3,273,65,1
1,1,1,2,0,1,543,18,1
3,3,0,4,1,4,925,26,1
2,2,1,2,1,4,1990,30,3
1,4,1,3,1,5,2441,51,3
4,5,1,3,1,2,1581,38,3
5,3,0,3,1,3,370,62,2
5,4,0,4,1,4,442,49,1
2,2,0,5,1,4,2300,47,1
1,5,1,5,1,5,1440,23,3
5,4,1,4,1,4,651,40,3
2,2,1,2,0,2,1028,36,1
3,4,1,4,1,4,600,28,3
2,3,1,2,1,1,484,51,3
4,3,0,1,1,3,1172,70,1
1,4,1,1,1,2,1511,77,3
2,2,0,2,1,5,175,17,1
4,4,1,4,1,3,192,37,1
2,2,0,4,1,5,257,22,1
3,3,1,3,1,3,389,68,2
2,3,0,5,1,4,985,38,2
2,4,1,2,1,3,2618,41,3
1,1,1,1,1,4,189,15,1
3,3,1,3,1,3,2719,39,3
4,4,0,3,1,1,775,34,1
3,3,0,4,1,2,119,34,1
1,4,1,4,1,3,102,35,3
3,3,0,3,1,5,762,24,2
2,2,0,2,1,4,1037,48,1
3,4,1,5,1,5,417,42,3
3,5,0,4,1,5,192,31,1
4,5,1,5,1,5,2859,40,3
1,1,1,3,0,5,1155,8,1
4,4,0,1,1,4,311,39,1
4,5,1,5,1,4,967,47,3
4,4,1,4,1,1,1024,38,2
1,4,0,5,1,1,429,45,1
4,4,0,5,1,3,602,38,1
5,5,1,5,1,5,2223,31,3
2,2,1,2,0,3,594,25,3
2,5,0,5,1,3,460,63,1
1,1,1,3,0,2,295,32,1
1,4,1,3,1,4,4963,57,3
2,2,0,2,1,5,637,7,1
3,3,1,3,1,3,1592,29,3
3,3,0,2,1,3,452,15,1
4,5,1,5,1,4,1596,23,3
4,4,1,4,0,3,965,28,1
5,3,1,5,1,1,867,48,1
2,5,1,5,1,3,3331,54,3
2,2,1,2,1,1,2342,39,1
3,3,0,5,1,4,214,62,1
2,3,0,1,1,2,599,55,1
2,2,0,5,1,3,175,10,1
1,4,0,4,1,3,356,46,1
4,5,1,4,1,5,2917,54,3
2,4,1,5,1,2,147,50,3
5,5,0,4,1,2,813,54,1
5,5,1,5,1,3,1340,53,3
3,3,0,1,1,4,1874,52,1
3,3,1,3,0,4,192,26,1
4,5,0,2,1,4,302,53,1
4,4,0,3,1,3,1005,53,1
1,4,1,1,1,4,495,47,3
3,5,0,3,1,5,2295,38,3
2,4,1,2,1,3,1660,43,3
3,3,1,3,1,3,1702,44,3
1,4,1,3,1,5,1748,42,3
1,1,0,2,1,4,1482,67,1
2,1,1,5,0,4,416,25,1
1,1,1,4,0,5,913,31,1
4,4,1,1,0,5,926,49,3
1,1,1,2,0,1,201,28,1
1,1,0,5,1,4,192,54,1
2,2,1,2,1,3,834,28,1
1,1,0,5,1,4,479,57,1
3,3,1,3,1,1,351,68,3
4,2,1,4,1,1,1747,56,1
2,2,1,4,0,2,784,19,2
2,2,0,2,1,3,1846,28,1
4,3,1,2,1,5,1900,60,3
5,3,1,3,1,2,157,52,1
1,3,0,3,1,4,1020,55,1
1,3,1,5,1,3,1065,54,3
0,0,1,1,0,4,140,22,3
3,3,1,4,0,3,594,8,2
2,2,0,2,1,4,404,31,3
3,4,1,4,1,3,3540,46,3
2,5,1,3,1,4,480,40,3
3,5,0,3,1,4,438,67,1
3,2,1,4,1,2,2288,26,3
3,3,0,2,1,5,696,12,1
1,4,1,2,1,2,1024,39,3
1,4,1,2,0,4,776,8,1
2,2,0,1,1,4,679,38,1
4,5,0,3,1,4,125,46,1
3,3,1,3,1,2,550,39,1
5,4,1,5,1,5,1514,47,3
2,2,0,2,1,2,631,67,1
3,3,0,4,1,4,1013,43,1
2,2,0,4,1,5,164,37,1
4,2,0,4,1,2,90,63,1
3,3,0,3,1,3,438,15,1
2,4,1,4,1,4,483,22,3
1,4,1,3,1,3,1962,48,3
2,2,1,1,1,2,500,60,2
5,5,1,5,1,5,334,55,1
3,3,0,5,1,1,1235,39,1
3,2,0,1,1,4,342,52,1
1,1,1,4,1,2,1947,55,2
5,3,1,4,1,2,2089,43,3
5,5,1,5,1,2,101,62,1
3,3,1,3,1,2,852,39,1
4,4,0,4,1,5,399,24,2
1,1,0,4,1,1,964,20,1
5,5,1,5,1,2,190,35,1
4,4,0,4,1,5,500,35,1
2,2,1,2,0,3,602,37,3
1,2,0,4,1,5,2454,18,1
2,3,1,2,1,1,1832,39,3
4,4,1,4,1,3,3933,46,3
1,4,1,3,1,3,3880,42,3
2,5,1,3,1,5,2454,39,3
1,5,1,5,1,4,2904,45,3
4,4,1,5,1,3,2680,47,3
3,3,0,3,1,5,1379,25,2
2,3,0,5,1,3,255,68,3
2,2,0,2,1,5,862,58,1
3,4,1,4,1,3,1389,31,3
4,5,1,5,1,5,168,57,3
2,4,1,4,1,4,3547,31,3
4,4,1,4,1,4,633,38,1
3,2,0,5,1,1,925,31,1
5,5,1,4,1,3,925,49,3
2,4,1,2,1,1,427,52,3
3,3,0,3,1,3,354,27,2
4,4,1,5,0,4,589,51,3
2,2,0,1,1,2,2475,24,1
3,1,0,2,1,4,371,31,1
1,1,0,4,1,4,212,31,2
2,2,1,2,1,4,1008,45,2
2,2,1,3,1,2,631,60,1
1,4,1,5,1,3,3897,52,3
2,5,1,4,1,3,1192,58,3
2,1,1,2,1,4,3617,36,3
3,4,1,3,1,3,3240,50,3
1,5,1,5,1,5,1562,43,3
2,2,1,2,0,3,1072,34,3
3,3,0,1,1,5,1416,50,1
2,2,0,1,1,4,1670,13,1
3,4,1,4,1,5,3890,44,3
3,4,1,5,1,4,2938,38,3
2,2,1,1,1,4,1670,59,2
3,3,1,2,0,4,237,32,1
5,4,1,4,1,3,1726,59,3
1,3,1,5,1,1,3075,53,3
5,5,1,4,1,4,1958,60,3
3,3,0,4,1,3,2475,15,3
3,1,0,2,1,1,405,53,1
3,3,1,3,0,5,697,26,2
1,4,1,1,1,3,2338,52,3
3,5,0,5,1,5,528,52,1
2,2,1,2,1,4,3598,33,3
1,3,1,5,1,3,2227,47,3
5,5,1,5,1,4,2530,59,3
4,4,1,4,1,3,1814,37,3
3,3,0,2,1,5,240,35,1
3,4,1,3,1,4,524,39,1
1,1,1,1,1,1,695,27,3
2,3,1,2,1,5,438,40,1
2,2,0,4,1,4,67,35,2
4,2,0,2,1,2,1670,47,2
1,1,0,2,1,4,488,7,1
1,5,1,2,1,4,1667,46,3
3,3,0,5,1,2,551,63,1
1,2,1,4,1,4,2313,40,3
3,3,1,5,0,3,226,24,1
1,5,1,4,1,4,1235,49,3
3,2,1,4,0,4,571,22,1
2,5,1,5,1,4,332,45,3
3,2,1,5,1,5,817,44,3
5,4,1,5,1,3,2586,20,3
5,4,1,4,1,5,2419,43,3
5,5,1,5,0,3,370,44,3
2,3,1,4,1,4,2125,49,3
4,5,1,5,0,5,363,21,3
5,4,1,4,1,4,1671,52,3
2,5,1,4,1,5,2063,52,3
1,4,1,4,1,3,354,48,3
1,4,0,5,1,4,762,16,1
3,4,1,3,1,5,340,57,3
2,2,0,3,1,3,209,56,1
2,5,1,4,1,4,1615,54,3
5,5,0,1,1,5,1192,66,1
2,4,1,4,1,4,444,60,3
2,4,1,1,1,4,936,57,3
4,4,1,3,0,3,1265,11,1
2,4,1,4,1,3,2383,55,3
4,4,0,5,1,4,696,59,1
5,5,1,5,1,5,594,27,1
1,4,1,4,1,3,562,24,3
2,2,0,2,1,3,680,21,1
1,4,1,4,1,3,3792,46,3
3,4,1,5,1,3,3131,60,3
3,3,0,4,1,5,1235,48,2
4,4,0,5,1,3,416,15,1
2,3,0,4,1,5,628,23,1
4,4,1,4,1,4,2254,31,3
4,5,1,3,1,4,3544,41,3
2,2,0,1,1,3,590,13,1
3,3,0,2,1,2,605,42,1
1,0,1,2,1,4,337,28,2
3,3,0,3,1,3,333,35,1
0,0,0,4,1,4,484,64,1
2,5,1,4,1,4,3455,57,3
5,4,1,5,1,5,404,50,3
4,4,0,3,1,3,1874,21,1
5,4,1,5,1,5,2419,41,3
5,5,1,5,1,1,488,41,1
4,4,1,2,0,2,820,37,1
3,2,0,2,1,2,913,16,2
2,3,1,2,1,2,1890,43,3
2,4,1,4,1,4,429,55,3
4,4,1,1,1,4,2288,29,3
4,4,1,2,1,4,902,55,3
4,5,1,3,1,4,1730,56,3
3,3,1,2,1,3,1407,45,1
